old,kind,status,real_words,editorial_inbound,h1,new,action,note
/2019/10/,date-archive,200,511,0,Hoe selecteren opleidingen hun studenten?,,drop,noindex on the old site
/2019/11/,date-archive,200,438,0,Studies en baankansen,,drop,noindex on the old site
/2020/,date-archive,200,414,1,Matching: wat moet je weten?,,drop,noindex on the old site
/2020/01/,date-archive,200,415,0,Bindend studieadvies: wat moet je weten?,,drop,noindex on the old site
/2020/03/,date-archive,200,421,0,Uitgeloot voor je studie: wat nu?,,drop,noindex on the old site
/2020/04/,date-archive,200,398,0,De wereld aan je voeten: waarom een tussenjaar?,,drop,noindex on the old site
/2020/05/,date-archive,200,528,0,Vervolgstudie geen goede match: wat nu?,,drop,noindex on the old site
/2020/06/,date-archive,200,436,0,Studiekeuzecheck: wat is jouw motivatie?,,drop,noindex on the old site
/2020/07/,date-archive,200,593,0,Geslaagd maar nog geen studie gekozen. Tussenjaar of alsnog een studie kiezen?,,drop,noindex on the old site
/2020/08/,date-archive,200,535,0,Mijn studie: hoe zit het met baankansen en startsalaris?,,drop,noindex on the old site
/2020/09/,date-archive,200,689,0,"Studeren: tegenvallers, twijfels en doorzettingsvermogen",,drop,noindex on the old site
/2020/11/,date-archive,200,548,0,"Een voltijd, deeltijd of een duale studie",,drop,noindex on the old site
/2020/12/,date-archive,200,414,0,Matching: wat moet je weten?,,drop,noindex on the old site
/2021/,date-archive,200,398,1,It’s (not) a match: nieuwe studiekeuze na de studiekeuzecheck?,,drop,noindex on the old site
/2021/01/,date-archive,200,416,0,Stoppen met studeren: wat moet je regelen?,,drop,noindex on the old site
/2021/02/,date-archive,200,440,0,Van havo naar universiteit,,drop,noindex on the old site
/2021/04/,date-archive,200,566,0,Studeren in het buitenland?,,drop,noindex on the old site
/2021/05/,date-archive,200,536,0,Verschillen tussen een reguliere en particuliere opleiding,,drop,noindex on the old site
/2021/07/,date-archive,200,392,0,Introductieweek: wat kunnen studenten verwachten?,,drop,noindex on the old site
/2021/10/,date-archive,200,398,0,It’s (not) a match: nieuwe studiekeuze na de studiekeuzecheck?,,drop,noindex on the old site
/2024/,date-archive,200,617,1,Uitschrijven bij je studie voor 1 februari,,drop,noindex on the old site
/2024/10/,date-archive,200,489,0,Vijf tips voor een vliegende studiestart,,drop,noindex on the old site
/2024/12/,date-archive,200,617,0,Uitschrijven bij je studie voor 1 februari,,drop,noindex on the old site
/2025/,date-archive,200,781,1,Spoedcursus studeren 4: Eigen verantwoordelijkheid,,drop,noindex on the old site
/2025/01/,date-archive,200,547,0,Van wisselende vakken tot studiepunten sprokkelen: scholier versus student (deel 2),,drop,noindex on the old site
/2025/02/,date-archive,200,560,0,Thuis studeren als een pro,,drop,noindex on the old site
/2025/05/,date-archive,200,1315,0,"Mbo, hbo of wo? Je kunt alle kanten op!",,drop,noindex on the old site
/2025/10/,date-archive,200,539,0,Numerus fixus in het mbo,,drop,noindex on the old site
/2025/11/,date-archive,200,561,0,Studeren zonder stress,,drop,noindex on the old site
/2025/12/,date-archive,200,781,0,Spoedcursus studeren 4: Eigen verantwoordelijkheid,,drop,noindex on the old site
/2026/,date-archive,200,773,1,Een goede balans tussen studie en vrije tijd,,drop,noindex on the old site
/2026/01/,date-archive,200,773,0,Een goede balans tussen studie en vrije tijd,,drop,noindex on the old site
/aart-smit/,page,200,619,6,Interview Studiekeuzecoach Aart Smit,/studiekeuzecoaches/aart-smit,redirect,
/afrekenen/,shop,200,8,1,Winkelwagen,/tarieven,redirect,the old site already redirects this to /winkelwagen/
/amersfoort/,other,200,723,1,StudieKeuzeAdvies Amersfoort,/locaties/amersfoort,redirect,the old site already redirects this to /locaties/amersfoort/
/amsterdam/,other,200,980,1,StudieKeuzeAdvies Amsterdam,/locaties/amsterdam,redirect,the old site already redirects this to /locaties/amsterdam/
/angelina-muller/,page,200,511,8,Interview Studiekeuzecoach Angelina Muller,/studiekeuzecoaches/angelina-muller,redirect,
/artikel-aanmelden-studies/,post,200,1068,3,Inschrijven,/artikel-aanmelden-studies,keep,the address is a page on this site now; the article keeps its root URL
/artikel-studentenleven/,post,200,582,1,Lid worden bij een vereniging?,/artikel-studentenleven,keep,the article keeps its root URL
/assessment-op-school/,page,200,4,1,Assessment op school,,drop,
/bedankpagina-aanvraag-studiekeuzeadvies/,page,200,38,1,Je aanvraag is gelukt!,/bedankt,redirect,
/bedankpagina-evaluatie-studiekeuzetraject/,other,200,20,1,Bedankpagina evaluatie studiekeuzetraject,,drop,
/bedankpagina-vrijblijvend-intakegesprek-inplannen/,page,200,47,1,Je aanvraag is gelukt!,/bedankt,redirect,
/bergen-op-zoom-2/,page,200,1,1,,/locaties/bergen-op-zoom,redirect,
/bergen-op-zoom/,page,200,747,182,StudieKeuzeAdvies Bergen op Zoom,/locaties/bergen-op-zoom,redirect,
/bindend-studieadvies/,post,200,415,1,Bindend studieadvies: wat moet je weten?,/bindend-studieadvies,keep,the article keeps its root URL
/breda/,other,200,727,1,StudieKeuzeAdvies Breda,/locaties/breda,redirect,the old site already redirects this to /locaties/breda/
/bussum/,other,200,722,1,StudieKeuzeAdvies Bussum,/locaties/bussum,redirect,the old site already redirects this to /locaties/bussum/
/category/,taxonomy,404,0,0,,/artikelen,redirect,
/category/blog/,taxonomy,200,1050,0,Oudergids: hoe begeleid je als ouder de studiekeuze van je kind?,/artikelen,redirect,
/category/nieuws/,taxonomy,200,773,0,Een goede balans tussen studie en vrije tijd,/artikelen,redirect,
/contact/,page,200,45,182,Neem vrijblijvend contact met ons op!,/contact,keep,the address is a page on this site now
/de-1-februariregeling/,post,200,402,3,De 1-februariregeling,/de-1-februariregeling,keep,the address is a page on this site now; the article keeps its root URL
/de-voorbereiding-op-je-nieuwe-studie-begint-nu/,post,200,417,1,De voorbereiding op je nieuwe studie begint nu,/de-voorbereiding-op-je-nieuwe-studie-begint-nu,keep,the article keeps its root URL
/de-wereld-aan-je-voeten-waarom-een-tussenjaar-soms-de-beste-studiekeuze-is/,post,200,398,1,De wereld aan je voeten: waarom een tussenjaar?,/de-wereld-aan-je-voeten-waarom-een-tussenjaar-soms-de-beste-studiekeuze-is,keep,the article keeps its root URL
/deadline-decentrale-selectie-15-januari/,post,200,505,1,Deadline decentrale selectie 15 januari,/deadline-decentrale-selectie-15-januari,keep,the article keeps its root URL
/decentrale-selectie/,post,200,829,2,Decentrale selectie,/decentrale-selectie,keep,the article keeps its root URL
/deventer-2/,page,200,723,182,StudieKeuzeAdvies Deventer,/locaties/deventer,redirect,
/dingen-die-ik-had-willen-weten-toen-ik-een-vervolgstudie-moest-kiezen/,post,200,601,1,Dingen die ik had willen weten toen ik een vervolgstudie moest kiezen,/dingen-die-ik-had-willen-weten-toen-ik-een-vervolgstudie-moest-kiezen,keep,the article keeps its root URL
/een-voltijd-deeltijd-of-een-duale-studie/,post,200,548,1,"Een voltijd, deeltijd of een duale studie",/een-voltijd-deeltijd-of-een-duale-studie,keep,the article keeps its root URL
/eerste-studiekeuze/,page,200,846,58,Eerste studiekeuze,/eerste-studiekeuze,keep,the address is a page on this site now
/eerste-studiekeuze/covers/,attachment,200,0,0,COVERS,/eerste-studiekeuze,redirect,attachment to its parent
/eerste-studiekeuze/covers2/,attachment,200,0,0,COVERS2,/eerste-studiekeuze,redirect,attachment to its parent
/eerste-studiekeuze/microsoftteams-image-2/,attachment,200,0,0,MicrosoftTeams-image,/eerste-studiekeuze,redirect,attachment to its parent
/eerste-studiekeuze/microsoftteams-image/,attachment,200,0,0,MicrosoftTeams-image,/eerste-studiekeuze,redirect,attachment to its parent
/eerste-studiekeuze/orja091-aangepast-2/,attachment,200,2,0,ORJA091 aangepast-2,/eerste-studiekeuze,redirect,attachment to its parent
/eerste-studiekeuze/qompas-logo-fc-blauw-rood-payoff/,attachment,200,10,0,Qompas Logo FC Blauw Rood Payoff,/eerste-studiekeuze,redirect,attachment to its parent
/eerste-studiekeuze/qompas-logo-rgb-blauw-rood-payoff/,attachment,200,10,0,Qompas Logo RGB Blauw Rood Payoff,/eerste-studiekeuze,redirect,attachment to its parent
/eerstejaarsstress-zo-leer-jij-je-opleiding-en-studentenstad-kennen/,post,200,561,1,Studeren zonder stress,/eerstejaarsstress-zo-leer-jij-je-opleiding-en-studentenstad-kennen,keep,the article keeps its root URL
/enschede/,other,200,725,1,StudieKeuzeAdvies Enschede,/locaties/enschede,redirect,the old site already redirects this to /locaties/enschede/
/ervaringen/,page,200,757,182,Honderden leerlingen en studenten gingen je voor!,/ervaringen,keep,the address is a page on this site now
/evaluatie-studiekeuzetraject/,page,200,2,1,,,drop,
/februari-starten-met-een-studie-voordelen-en-nadelen/,post,200,413,1,In februari starten met een studie: voordelen en nadelen,/februari-starten-met-een-studie-voordelen-en-nadelen,keep,the article keeps its root URL
/gekozen-voor-een-studie-maar-nu-slaat-de-twijfel-toe/,post,200,527,1,"Gekozen voor een studie, maar nu slaat de twijfel toe!",/gekozen-voor-een-studie-maar-nu-slaat-de-twijfel-toe,keep,the article keeps its root URL
/geld-lenen-de-regering-wil-de-rente-op-de-studieschuld-verhogen/,post,200,416,1,Geld lenen? De regering wil de rente op de studieschuld verhogen,/geld-lenen-de-regering-wil-de-rente-op-de-studieschuld-verhogen,keep,the article keeps its root URL
/geslaagd-maar-nog-geen-studie-gekozen-tussenjaar-of/,post,200,593,1,Geslaagd maar nog geen studie gekozen. Tussenjaar of alsnog een studie kiezen?,/geslaagd-maar-nog-geen-studie-gekozen-tussenjaar-of,keep,the article keeps its root URL
/gestopt-met-je-studie-blijf-niet-stilzitten/,post,200,424,1,Gestopt met je studie? Blijf niet stilzitten!,/gestopt-met-je-studie-blijf-niet-stilzitten,keep,the address is a page on this site now; the article keeps its root URL
/gestopt-met-studie/,post,200,369,1,"Gestopt met studie, een gemiste kans?",/gestopt-met-studie,keep,the article keeps its root URL
/gouda/,page,200,715,182,StudieKeuzeAdvies Gouda,/locaties/gouda,redirect,
/gratis-studiekeuzetraject/,page,200,108,1,Gratis StudieKeuzeTraject!,/studiekeuzetraject,redirect,
/groningen/,other,200,723,1,StudieKeuzeAdvies Groningen,/locaties/groningen,redirect,the old site already redirects this to /locaties/groningen/
/halvering-collegegeld/,post,200,328,1,Halvering collegegeld,/halvering-collegegeld,keep,the article keeps its root URL
/hbo-opleiding-kiezen/,page,200,441,1,Hulp bij studiekeuze hbo,/hbo-opleiding-kiezen,keep,the address is a page on this site now
/het-studentenleven-hoe-leef-je-dat/,post,200,747,1,Het studentenleven: hoe leef je dat?,/het-studentenleven-hoe-leef-je-dat,keep,the article keeps its root URL
/hoe-selecteren-opleidingen-hun-studenten/,post,200,511,1,Hoe selecteren opleidingen hun studenten?,/hoe-selecteren-opleidingen-hun-studenten,keep,the article keeps its root URL
/home/,other,200,583,1,Een goede studiekeuze maken. Lastig hè?,/,redirect,our own rule; the old site sends this to /
/home/banner/,attachment,200,0,0,banner,/,redirect,attachment to its parent
/home/boekenblauwblur/,attachment,200,0,0,boekenBlauwBlur,/,redirect,attachment to its parent
/home/college-tutor-with-student/,attachment,200,6,0,College tutor with student,/,redirect,attachment to its parent
/home/confused-student-studying-in-a-coffee-shop/,attachment,200,12,0,Confused student studying in a coffee shop,/,redirect,attachment to its parent
/home/cover-banner/,attachment,200,2,0,Cover- banner,/,redirect,attachment to its parent
/home/high-school-student-working-in-library-after-classes-using-laptop/,attachment,200,18,0,"High school student working in library after classes, using laptop",/,redirect,attachment to its parent
/home/informatics-min/,attachment,200,0,0,Informatics-min,/,redirect,attachment to its parent
/home/meisje-krullen-240x413/,attachment,200,0,0,meisje-krullen-240x413,/,redirect,attachment to its parent
/home/mockup-ska-talententest-klein/,attachment,200,6,0,Mockup SKA Talententest klein,/,redirect,attachment to its parent
/home/orja091-klein-2/,attachment,200,2,0,ORJA091 klein,/,redirect,attachment to its parent
/home/orja091_/,attachment,200,0,0,ORJA091_,/,redirect,attachment to its parent
/home/portrait-of-pretty-brunette-woman-with-long-hair/,attachment,200,14,0,Portrait Of Pretty Brunette Woman With Long Hair.,/,redirect,attachment to its parent
/home/prestatiedruk-240x413/,attachment,200,0,0,prestatiedruk-240x413,/,redirect,attachment to its parent
/home/regionblur/,attachment,200,0,0,regionBlur,/,redirect,attachment to its parent
/home/rsz_adult-business-meeting-business-people-1438072/,attachment,200,0,0,rsz_adult-business-meeting-business-people-1438072,/,redirect,attachment to its parent
/home/rsz_christin-hume-505823-unsplash/,attachment,200,0,0,rsz_christin-hume-505823-unsplash,/,redirect,attachment to its parent
/home/rsz_neonbrand-618320-unsplash/,attachment,200,0,0,rsz_neonbrand-618320-unsplash,/,redirect,attachment to its parent
/home/scholieren-kijken-elkaar-aan/,attachment,200,0,0,scholieren-kijken-elkaar-aan,/,redirect,attachment to its parent
/home/ska-banner/,attachment,200,0,0,SKA-banner,/,redirect,attachment to its parent
/home/smartheads1/,attachment,200,0,0,Smartheads1,/,redirect,attachment to its parent
/home/stocksy_txp70132e42tuf200_medium_2542961-2-3/,attachment,200,4,0,Stocksy_txp70132e42Tuf200_Medium_2542961 (2) (3),/,redirect,attachment to its parent
/home/stress-plaatje-spiegel-1/,attachment,200,6,0,stress plaatje spiegel (1),/,redirect,attachment to its parent
/home/studiekeuzeadvies1-1/,attachment,200,2,0,StudieKeuzeAdvies1 (1),/,redirect,attachment to its parent
/home/studiekeuzeadvies1/,attachment,200,0,0,StudieKeuzeAdvies1,/,redirect,attachment to its parent
/home/thinking-woman-in-front-of-blackboard-with-question-marks/,attachment,200,16,0,Thinking woman in front of blackboard with question marks,/,redirect,attachment to its parent
/home/two-students-learning-helping-each-other/,attachment,200,10,0,Two students learning helping each other,/,redirect,attachment to its parent
/introductieweek-wat-kunnen-studenten-verwachten/,post,200,392,1,Introductieweek: wat kunnen studenten verwachten?,/introductieweek-wat-kunnen-studenten-verwachten,keep,the article keeps its root URL
/its-not-a-match-nieuwe-studiekeuze-na-de-studiekeuzecheck/,post,200,398,1,It’s (not) a match: nieuwe studiekeuze na de studiekeuzecheck?,/its-not-a-match-nieuwe-studiekeuze-na-de-studiekeuzecheck,keep,the article keeps its root URL
/janneke-van-den-brand/,page,200,1129,4,Interview Studiekeuzecoach Janneke van den Brand,/studiekeuzecoaches/janneke,redirect,
/keuzegids/,page,200,123,182,Keuzegids,/studiekeuzetraject,redirect,
/keuzegids/home-keuzegids/,attachment,200,4,0,Home - Keuzegids,/studiekeuzetraject,redirect,attachment to its parent
/kosten-verkeerde-studiekeuze/,post,200,481,1,Kosten verkeerde studiekeuze,/kosten-verkeerde-studiekeuze,keep,the article keeps its root URL
/leiden/,other,200,716,1,StudieKeuzeAdvies Leiden,/locaties/leiden,redirect,the old site already redirects this to /locaties/leiden/
/locaties/,page,200,354,182,Locaties,/locaties,keep,the address is a page on this site now
/locaties/almere/,page,200,723,182,StudieKeuzeAdvies Almere,/locaties/almere,keep,the address is a page on this site now
/locaties/amersfoort/,page,200,723,182,StudieKeuzeAdvies Amersfoort,/locaties/amersfoort,keep,the address is a page on this site now
/locaties/amersfoort/mirjam-260x300/,attachment,200,0,0,Mirjam-260x300,/locaties/amersfoort,redirect,attachment to its parent
/locaties/amstelveen/,page,200,727,182,StudieKeuzeAdvies Amstelveen,/locaties/amstelveen,keep,the address is a page on this site now
/locaties/amsterdam/,page,200,980,182,StudieKeuzeAdvies Amsterdam,/locaties/amsterdam,keep,the address is a page on this site now
/locaties/amsterdam/amsterdam/,attachment,200,0,0,Amsterdam,/locaties/amsterdam,redirect,attachment to its parent
/locaties/amsterdam/img_0943/,attachment,200,0,0,IMG_0943,/locaties/amsterdam,redirect,attachment to its parent
/locaties/arnhem-2/,page,200,724,2,StudieKeuzeAdvies Arnhem,/locaties/arnhem,redirect,the old site already redirects this to /locaties/arnhem/
/locaties/arnhem/,page,200,724,182,StudieKeuzeAdvies Arnhem,/locaties/arnhem,keep,
/locaties/breda/,page,200,727,182,StudieKeuzeAdvies Breda,/locaties/breda,keep,
/locaties/breda/angelina-en-renata/,attachment,200,4,0,Angelina en Renata,/locaties/breda,redirect,attachment to its parent
/locaties/breukelen/,page,200,723,182,StudieKeuzeAdvies Breukelen,/locaties/breukelen,keep,
/locaties/bussum/,page,200,722,182,StudieKeuzeAdvies Bussum,/locaties/bussum,keep,
/locaties/bussum/img_2795/,attachment,200,0,0,IMG_2795,/locaties/bussum,redirect,attachment to its parent
/locaties/de-melkfabriek-bruinevisstraat-32-4611hj-bergen-op-zoom/,attachment,200,16,0,"De Melkfabriek – Bruinevisstraat 32, 4611HJ, Bergen op Zoom",/locaties,redirect,attachment to its parent
/locaties/den-bosch/,page,200,729,182,StudieKeuzeAdvies Den Bosch,/locaties/den-bosch,keep,the address is a page on this site now
/locaties/den-haag/,page,200,728,182,StudieKeuzeAdvies Den Haag,/locaties/den-haag,keep,
/locaties/dordrecht/,page,200,727,182,StudieKeuzeAdvies Dordrecht,/locaties/dordrecht,keep,
/locaties/eindhoven/,page,200,721,182,StudieKeuzeAdvies Eindhoven,/locaties/eindhoven,keep,the address is a page on this site now
/locaties/enschede/,page,200,725,182,StudieKeuzeAdvies Enschede,/locaties/enschede,keep,
/locaties/enschede/monique-kock/,attachment,200,2,0,Monique Kock,/locaties/enschede,redirect,attachment to its parent
/locaties/enschede/schermafbeelding-2022-02-08-om-09-30-07/,attachment,200,2,0,Coach Ansje,/locaties/enschede,redirect,attachment to its parent
/locaties/gouda/,other,200,715,2,StudieKeuzeAdvies Gouda,/locaties/gouda,keep,the new URL is the old URL; the old site already redirects this to /gouda/
/locaties/groningen/,page,200,723,182,StudieKeuzeAdvies Groningen,/locaties/groningen,keep,
/locaties/groningen/pieter-jpg/,attachment,200,2,0,Pieter JPG,/locaties/groningen,redirect,attachment to its parent
/locaties/haarlem/,page,200,723,182,StudieKeuzeAdvies Haarlem,/locaties/haarlem,keep,the address is a page on this site now
/locaties/hengelo/,page,200,732,182,StudieKeuzeAdvies Hengelo,/locaties/hengelo,keep,
/locaties/hilversum/,page,200,724,182,StudieKeuzeAdvies Hilversum,/locaties/hilversum,keep,the address is a page on this site now
/locaties/leeuwarden/,page,200,723,182,StudieKeuzeAdvies Leeuwarden,/locaties/leeuwarden,keep,
/locaties/leiden/,page,200,716,182,StudieKeuzeAdvies Leiden,/locaties/leiden,keep,
/locaties/leiden/silvia/,attachment,200,0,0,Silvia,/locaties/leiden,redirect,attachment to its parent
/locaties/logo-2/,attachment,200,0,0,logo,/locaties,redirect,attachment to its parent
/locaties/maarssen/,page,200,723,182,StudieKeuzeAdvies Maarssen,/locaties/maarssen,keep,
/locaties/maastricht/,page,200,727,182,StudieKeuzeAdvies Maastricht,/locaties/maastricht,keep,the address is a page on this site now
/locaties/maastricht/schermafbeelding-2021-10-28-om-12-04-32/,attachment,200,0,0,Aart,/locaties/maastricht,redirect,attachment to its parent
/locaties/nijmegen/,page,200,723,182,StudieKeuzeAdvies Nijmegen,/locaties/nijmegen,keep,
/locaties/oldenzaal/,page,200,723,182,StudieKeuzeAdvies Oldenzaal,/locaties/oldenzaal,keep,
/locaties/p-j-oudweg-4-1314-ch-almere/,attachment,200,10,0,"P.J. Oudweg 4, 1314 CH Almere",/locaties,redirect,attachment to its parent
/locaties/roermond/,page,200,727,182,StudieKeuzeAdvies Roermond,/locaties/roermond,keep,the address is a page on this site now
/locaties/roosendaal/,page,200,728,182,StudieKeuzeAdvies Roosendaal,/locaties/roosendaal,keep,
/locaties/roosendaal/angelina-muller-1/,attachment,200,4,0,Angelina Muller (1),/locaties/roosendaal,redirect,attachment to its parent
/locaties/rotterdam/,page,200,728,182,StudieKeuzeAdvies Rotterdam,/locaties/rotterdam,keep,
/locaties/singel-331-3311-hl-dordrecht/,attachment,200,8,0,"Singel 331, 3311 HL Dordrecht",/locaties,redirect,attachment to its parent
/locaties/sittard/,page,200,727,182,Studiekeuzeadvies Sittard,/locaties/sittard-geleen,redirect,
/locaties/sittard/lisa-2/,attachment,200,2,0,Lisa 2,/locaties/sittard-geleen,redirect,attachment to its parent
/locaties/student-getting-help-from-tutor-in-library/,attachment,200,12,0,Student getting help from tutor in library,/locaties,redirect,attachment to its parent
/locaties/studiekeuzeadvies-apeldoorn/,page,200,723,182,StudieKeuzeAdvies Apeldoorn,/locaties/apeldoorn,redirect,
/locaties/tilburg/,page,200,723,182,StudieKeuzeAdvies Tilburg,/locaties/tilburg,keep,the address is a page on this site now
/locaties/utrecht/,page,200,726,182,StudieKeuzeAdvies Utrecht,/locaties/utrecht,keep,the address is a page on this site now
/locaties/utrecht/b-m/,attachment,200,4,0,B & M,/locaties/utrecht,redirect,attachment to its parent
/locaties/utrechtseweg-7-3811-na-amersfoort/,attachment,200,8,0,"Utrechtseweg 7, 3811 NA Amersfoort",/locaties,redirect,attachment to its parent
/locaties/van-baerlestraat-13-1071-al-amsterdam/,attachment,200,10,0,"Van Baerlestraat 13, 1071 AL Amsterdam",/locaties,redirect,attachment to its parent
/locaties/vught/,page,200,723,182,StudieKeuzeAdvies Vught,/locaties/vught,keep,the address is a page on this site now
/locaties/wassenaar/,page,200,723,182,StudieKeuzeAdvies Wassenaar,/locaties/wassenaar,keep,
/locaties/wassenaar/download-14/,attachment,200,2,0,Mahlia SKA,/locaties/wassenaar,redirect,attachment to its parent
/locaties/wassenaar/silvia-200x300/,attachment,200,0,0,Silvia-200x300,/locaties/wassenaar,redirect,attachment to its parent
/locaties/zwolle/,page,200,724,182,StudieKeuzeAdvies Zwolle,/locaties/zwolle,keep,
/locaties/zwolle/ilse-froukje/,attachment,200,4,0,Ilse & Froukje,/locaties/zwolle,redirect,attachment to its parent
/locaties/zwolle/ilse-van-den-belt/,attachment,200,6,0,Ilse van den Belt,/locaties/zwolle,redirect,attachment to its parent
/maastricht/,other,200,727,1,StudieKeuzeAdvies Maastricht,/locaties/maastricht,redirect,the old site already redirects this to /locaties/maastricht/
/matching-wat-moet-je-weten/,post,200,414,1,Matching: wat moet je weten?,/matching-wat-moet-je-weten,keep,the article keeps its root URL
/mbo-hbo-of-wo-je-kunt-alle-kanten-op/,post,200,1315,3,"Mbo, hbo of wo? Je kunt alle kanten op!",/mbo-hbo-of-wo-je-kunt-alle-kanten-op,keep,the article keeps its root URL
/mbo-opleiding-kiezen/,page,200,408,1,Hulp bij studiekeuze mbo,/mbo-opleiding-kiezen,keep,the address is a page on this site now
/mbo-opleidingen-beperkt-aantal-plaatsen/,post,200,437,1,Mbo-opleidingen beperkt aantal plaatsen,/mbo-opleidingen-beperkt-aantal-plaatsen,keep,the article keeps its root URL
/merk/keuzegids/,taxonomy,200,0,0,StudieKeuzeAdvies,/tarieven,redirect,shop taxonomy; revisit with the price decision
/merk/qompas/,taxonomy,200,0,0,StudieKeuzeAdvies,/tarieven,redirect,shop taxonomy; revisit with the price decision
/merk/studiekeuzeadvies/,taxonomy,200,0,0,StudieKeuzeAdvies,/tarieven,redirect,shop taxonomy; revisit with the price decision
/mijn-account/,shop,200,3,182,Mijn account,/tarieven,redirect,the price decision is open
/mijn-account/lost-password/,shop,200,2,2,Mijn account,/tarieven,redirect,the price decision is open
/mijn-studie-is-niet-leuk-wat-nu/,post,200,509,2,"Mijn studie is niet leuk, wat nu?",/mijn-studie-is-niet-leuk-wat-nu,keep,the article keeps its root URL
/mijn-studie-is-te-moeilijk-voor-mij/,post,200,605,1,Mijn studie is te moeilijk voor mij…,/mijn-studie-is-te-moeilijk-voor-mij,keep,the article keeps its root URL
/numerus-fixus-in-het-mbo/,post,200,539,2,Numerus fixus in het mbo,/numerus-fixus-in-het-mbo,keep,the article keeps its root URL
/online-studiekeuzeadvies/,page,200,624,1,Online StudieKeuzeAdvies,/studiekeuzetraject,redirect,
/online-studiekeuzeadvies/orja091-2-1/,attachment,200,2,0,ORJA091-2 (1),/studiekeuzetraject,redirect,attachment to its parent
/online-studiekeuzeadvies/orja091-2-2/,attachment,200,0,0,ORJA091-2,/studiekeuzetraject,redirect,attachment to its parent
/online-studiekeuzeadvies/orja091-2/,attachment,200,0,0,ORJA091-2,/studiekeuzetraject,redirect,attachment to its parent
/online-studiekeuzeadvies/orja091-klein/,attachment,200,2,0,ORJA091 klein,/studiekeuzetraject,redirect,attachment to its parent
/onze-diensten-en-producten/,page,200,675,182,Studiekeuzeadviestraject,/tarieven,redirect,
/onze-diensten-en-producten/meisje-krullen-270x767/,attachment,200,3,0,meisje-krullen-270x767,/tarieven,redirect,attachment to its parent
/onze-diensten-en-producten/meisje-schrijft-met-potlood-in-schrift/,attachment,200,0,0,meisje-schrijft-met-potlood-in-schrift,/tarieven,redirect,attachment to its parent
/onze-diensten-en-producten/shutterstock_1498298075-1/,attachment,200,2,0,shutterstock_1498298075 (1),/tarieven,redirect,attachment to its parent
/onze-methode/,page,200,687,182,Hoe helpen we bij jouw studiekeuze?,/onze-methode,rebuild,
/onze-methode/pattern-2/,attachment,200,0,0,pattern-2,/onze-methode,redirect,attachment to its parent
/onze-methode/scholieren-kijken-elkaar-aan-c/,attachment,200,0,0,scholieren-kijken-elkaar-aan-c,/onze-methode,redirect,attachment to its parent
/onze-methode/talentfocus-keuzegids/,page,200,312,1,Talentfocus en Keuzegids,/onze-methode,redirect,
/op-kamers-gaan-of-niet/,post,200,694,1,Op kamers gaan of niet?,/op-kamers-gaan-of-niet,keep,the article keeps its root URL
/opnieuw-een-studiekeuze-maken/,page,200,636,1,,/verkeerde-studiekeuze,redirect,
